Stock,01,02,03,04,05,06,07,HY
Eaagads,-11.75,7.99,-9.79,-8.68,3.37,5.72,-4.49,-24.80
Kakuzi Plc,11.11,-4.36,0.00,-2.70,-5.04,0.00,0
Kapchorua Tea Kenya Plc,4.68,-0.92,-6.94,0.00,-5.19,-2.14,5.94,4.98
The Limuru Tea Co.,0.00,0.00,0.00,0.00,0.00,0.00,0
Sasini,-0.24,0.72,-4.29,0.51,-7.07,-7.49,-7.54,-23.87
Williamson Tea Kenya Plc,-5.37,4.35,-2.44,1.41,-6.13,-3.13,-1.61,-13.27
Car & General (K),0.00,22.89,0.00,0.00,0.00,7.02,0
Barclays Bank of Kenya,9.92,2.46,13.15,3.20,-2.08,-0.42,0.22,20.50
Diamond Trust Bank Kenya,5.31,1.82,3.60,0.58,-7.32,3.15,0.80,3.24
Equity Group Holdings Plc,8.11,-0.72,15.41,-9.70,-3.86,-1.68,6.45,23.56
HF Group Plc,4.04,-3.99,4.18,-7.86,-13.75,4.87,-0.60,-18.87
I&M Holdings,-3.27,1.06,4.39,2.33,-11.11,0.22,-6.96,-10.58
KCB Group,4.25,0.27,6.37,-4.93,-3.00,-3.26,4.41,11.14
National Bank of Kenya,-7.22,-8.82,3.35,-13.43,-11.95,-8.70,-6.39,-39.56
NIC Group Plc,2.66,-3.37,11.82,0.15,-5.63,2.33,-2.99,-1.95
Stanbic Holdings Plc,1.71,0.46,10.53,-0.69,4.71,-3.43,0.41,14.17
Standard Chartered Bank Kenya,-1.68,1.70,9.98,-6.12,-3.20,-2.09,1.62,-2.04
The Co-operative Bank of Kenya,1.54,3.71,6.03,-6.51,-5.83,2.86,-0.80,5.17
Atlas African Industries,0
Deacons (East Africa) Plc,-16.85,-2.52,-3.46,-8.84,-22.56,-12.07,5.05,-61.90
Eveready East Africa,-5.73,-3.93,1.89,-5.88,-10.83,-5.56,-12.00,-42.71
Express Kenya,2.70,2.65,26.39,4.13,0.00,0
Kenya Airways,-1.14,-3.19,-27.34,-5.62,-16.59,19.70,-6.85,-37.76
Longhorn Publishers,-3.82,-3.00,-5.72,0.26,-1.36,-2.29,2.35,-21.80
Nairobi Business Ventures,-16.14,-1.79,-9.87,-5.45,-8.74,-17.37,41.73,-29.13
Nation Media Group Plc,-9.74,-1.90,8.31,-1.13,-5.88,-9.88,1.70,-22.29
Sameer Africa,-10.05,0.99,-8.91,10.47,-0.52,11.06,11.17,0.00
Standard Group Plc,0.79,4.14,-2.23,-0.38,-7.38,-4.49,21.20,-3.57
TPS Eastern Africa,13.48,-2.09,-3.42,-3.71,-4.84,1.66,1.11,-11.13
Uchumi Supermarket Plc,-18.82,-10.41,-19.26,-15.63,-18.12,-12.31,33.33,-59.55
WPP Scangroup,-8.10,-6.25,-3.70,10.38,-9.18,-7.18,-4.07,-16.28
ARM Cement Plc,-2.66,-10.80,-27.56,-11.81,-63.73,9.13,30.97,-66.63
Bamburi Cement,-3.91,1.29,0.42,2.03,-0.43,0.42,-0.83,-0.56
Crown Paints Kenya Plc,-1.57,0.48,-0.46,2.72,1.63,-5.56,-33.75,-33.44
E.A.Cables,-5.91,0.00,-6.22,-0.76,-6.01,-10.45,-1.76,-38.95
E.A.Portland Cement Co.,-12.72,-8.08,0.00,-3.38,-10.20,-14.50,-0.44,-34.43
KenGen Co.,-0.30,5.82,5.25,-4.15,-8.46,-0.89,-6.28,-21.86
KenolKobil,2.96,7.69,7.50,-0.07,1.63,0.97,0.49,24.35
Kenya Power & Lighting  Co,-5.25,-7.66,-2.04,-8.37,-1.60,3.56,-8.20,-30.39
Total Kenya,6.49,13.73,12.20,3.26,-8.63,-5.66,1.44,28.31
Umeme,-3.40,-2.64,-6.37,-18.22,-2.63,-16.24,3.92,-32.45
Britam Holdings Plc,-4.56,-5.18,2.74,4.78,-2.92,7.99,-2.20,5.57
CIC Insurance Group,0.22,-2.02,-5.33,-8.62,-3.14,0.82,5.51,-15.27
Jubilee Holdings,1.90,0.40,1.42,0.38,-5.90,0.20,-0.63,2.21
